"participant_country","event_name","country_total_wins","country_avg_performance","participants_per_event","discipline_avg_points","discipline_win_percentage"
"Algeria","Men's Foil Individual",0,2.4,1,8,0
"Algeria","Women's Sabre Individual",0,2.9,3,9.66666666666667,0
"Algeria","Women's Sabre Team",0,8.7,1,29,0
"Argentina","Men's Sabre Individual",1,38.9,1,13,50
"Azerbaijan","Women's Sabre Individual",1,38.15,1,10.5,50
"Belgium","Men's Épée Individual",2,50.3666666666667,1,12.3333333333333,66.6666666666667
"Brazil","Men's Foil Individual",0,2.1,1,7,0
"Brazil","Women's Foil Individual",0,3.9,1,13,0
"Brazil","Women's Épée Individual",0,3.3,1,11,0
"Bulgaria","Women's Sabre Individual",1,38.75,1,12.5,50
"Cabo Verde","Men's Foil Individual",0,2.7,1,9,0
"Canada","Men's Foil Individual",2,30.88,3,9.6,40
"Canada","Men's Foil Team",1,26.2555555555556,1,34.3333333333333,33.3333333333333
"Canada","Men's Sabre Individual",2,31.96,3,13.2,40
"Canada","Men's Sabre Team",0,26.2555555555556,1,39,0
"Canada","Men's Épée Individual",0,3.3,1,11,0
"Canada","Women's Foil Individual",6,50.4,3,12.4444444444444,66.6666666666667
"Canada","Women's Foil Team",1,26.2555555555556,1,33.6666666666667,33.3333333333333
"Canada","Women's Sabre Individual",0,0.9,1,3,0
"Canada","Women's Épée Individual",1,39.35,1,14.5,50
"Chile","Women's Foil Individual",0,2.1,1,7,0
"China","Men's Foil Individual",1,20.65,3,10.5,25
"China","Men's Foil Team",2,42.6444444444444,1,41.6666666666667,66.6666666666667
"China","Men's Sabre Individual",2,51.0666666666667,1,14.6666666666667,66.6666666666667
"China","Men's Épée Individual",1,37.85,1,9.5,50
"China","Women's Foil Individual",1,20.425,3,9.75,25
"China","Women's Foil Team",1,42.6444444444444,1,40.3333333333333,33.3333333333333
"China","Women's Sabre Individual",0,2.7,1,9,0
"China","Women's Épée Individual",2,31.78,3,12.6,40
"China","Women's Épée Team",1,42.6444444444444,1,33.3333333333333,33.3333333333333
"Chinese Taipei","Men's Foil Individual",1,39.05,1,13.5,50
"Colombia","Men's Épée Individual",0,2.1,1,7,0
"Cyprus","Men's Foil Individual",1,38.75,1,12.5,50
"Czechia","Men's Foil Individual",1,38,1,10,50
"Czechia","Men's Épée Individual",1,20.35,3,9.5,25
"Czechia","Men's Épée Team",2,58.9666666666667,1,41,66.6666666666667
"CÃ´te d'Ivoire","Men's Foil Individual",0,0.9,1,3,0
