"date","stage_code","event_name","stage","gender","venue","participant_code","participant_name","participant_type","participant_country_code","participant_country","result","result_type","result_WLT","start_order","matches_played","wins","win_percentage","avg_points","performance_index","stages_participated","total_stages","advancement_rate","country_total_wins","country_avg_performance","participants_per_event","discipline_avg_points","discipline_win_percentage"
2024-07-29 07:42:35,"FENMFOIL--------------R64-001000--","Men's Foil Individual","Table of 64","M","Grand Palais","1888267","CHEN Yi-Tung","Person","TPE","Chinese Taipei",15,"POINTS","W",1,2,1,50,13.5,39.05,2,2,100,1,39.05,1,12.3513513513514,50
2024-07-29 07:42:35,"FENMFOIL--------------R64-001000--","Men's Foil Individual","Table of 64","M","Grand Palais","1970300","WAKIM Philippe","Person","LBN","Lebanon",13,"POINTS","L",2,1,0,0,13,3.9,1,1,100,0,3.9,1,12.3513513513514,50
2024-07-29 07:42:51,"FENMFOIL--------------R64-003100--","Men's Foil Individual","Table of 64","M","Grand Palais","1932764","TOFALIDES Alex","Person","CYP","Cyprus",15,"POINTS","W",1,2,1,50,12.5,38.75,2,2,100,1,38.75,1,12.3513513513514,50
2024-07-29 07:42:51,"FENMFOIL--------------R64-003100--","Men's Foil Individual","Table of 64","M","Grand Palais","1894081","WOJTKOWIAK Adrian","Person","POL","Poland",10,"POINTS","L",2,1,0,0,10,3,1,1,100,8,31.9863636363636,10,12.3513513513514,50
2024-07-29 07:43:06,"FENMFOIL--------------R64-000200--","Men's Foil Individual","Table of 64","M","Grand Palais","1973203","BROSZUS Blake","Person","CAN","Canada",15,"POINTS","W",1,2,1,50,12,38.6,2,2,100,13,33.96875,13,12.3513513513514,50
2024-07-29 07:43:06,"FENMFOIL--------------R64-000200--","Men's Foil Individual","Table of 64","M","Grand Palais","1550881","SCHEMBRI Kruz","Person","ISV","Virgin Islands, US",8,"POINTS","L",2,1,0,0,8,2.4,1,1,100,0,2.4,1,12.3513513513514,50
2024-07-29 07:45:58,"FENMFOIL--------------R64-001800--","Men's Foil Individual","Table of 64","M","Grand Palais","1969353","HEROUI Salim","Person","ALG","Algeria",8,"POINTS","L",1,1,0,0,8,2.4,1,1,100,0,5.31428571428571,5,12.3513513513514,50
2024-07-29 07:45:58,"FENMFOIL--------------R64-001800--","Men's Foil Individual","Table of 64","M","Grand Palais","1894114","JURKIEWICZ Jan","Person","POL","Poland",15,"POINTS","W",2,2,1,50,14.5,39.35,2,2,100,8,31.9863636363636,10,12.3513513513514,50
2024-07-29 08:19:11,"FENMFOIL--------------R64-001500--","Men's Foil Individual","Table of 64","M","Grand Palais","1973210","GU Daniel","Person","CAN","Canada",15,"POINTS","W",1,2,1,50,10,38,2,2,100,13,33.96875,13,12.3513513513514,50
2024-07-29 08:19:11,"FENMFOIL--------------R64-001500--","Men's Foil Individual","Table of 64","M","Grand Palais","1563618","ALVARES de OLIVEIRA Victor","Person","CPV","Cabo Verde",9,"POINTS","L",2,1,0,0,9,2.7,1,1,100,0,2.7,1,12.3513513513514,50
