name,participant_country,medal_type,event,discipline
HARVEY Eleanor,Canada,Bronze Medal,Women's Foil Individual,Fencing
HARVEY Eleanor,Canada,Bronze Medal,Women's Foil Individual,Fencing
HARVEY Eleanor,Canada,Bronze Medal,Women's Foil Individual,Fencing
HARVEY Eleanor,Canada,Bronze Medal,Women's Foil Individual,Fencing
HARVEY Eleanor,Canada,Bronze Medal,Women's Foil Individual,Fencing
BERAN Jiri,Czechia,Bronze Medal,Men's Épée Team,Fencing
JURKA Jakub,Czechia,Bronze Medal,Men's Épée Team,Fencing
JURKA Jakub,Czechia,Bronze Medal,Men's Épée Team,Fencing
RUBES Martin,Czechia,Bronze Medal,Men's Épée Team,Fencing
ELSAYED Mohamed,Egypt,Bronze Medal,Men's Épée Individual,Fencing
ELSAYED Mohamed,Egypt,Bronze Medal,Men's Épée Individual,Fencing
ELSAYED Mohamed,Egypt,Bronze Medal,Men's Épée Individual,Fencing
ELSAYED Mohamed,Egypt,Bronze Medal,Men's Épée Individual,Fencing
ELSAYED Mohamed,Egypt,Bronze Medal,Men's Épée Individual,Fencing
APITHY Bolade,France,Bronze Medal,Men's Sabre Team,Fencing
APITHY Bolade,France,Bronze Medal,Men's Sabre Team,Fencing
APITHY-BRUNET Manon,France,Gold Medal,Women's Sabre Individual,Fencing
APITHY-BRUNET Manon,France,Gold Medal,Women's Sabre Individual,Fencing
APITHY-BRUNET Manon,France,Gold Medal,Women's Sabre Individual,Fencing
APITHY-BRUNET Manon,France,Gold Medal,Women's Sabre Individual,Fencing
APITHY-BRUNET Manon,France,Gold Medal,Women's Sabre Individual,Fencing
BALZER Sara,France,Silver Medal,Women's Sabre Individual,Fencing
BALZER Sara,France,Silver Medal,Women's Sabre Individual,Fencing
BALZER Sara,France,Silver Medal,Women's Sabre Individual,Fencing
BALZER Sara,France,Silver Medal,Women's Sabre Individual,Fencing
BALZER Sara,France,Silver Medal,Women's Sabre Individual,Fencing
BOREL Yannick,France,Silver Medal,Men's Épée Individual,Fencing
BOREL Yannick,France,Silver Medal,Men's Épée Individual,Fencing
BOREL Yannick,France,Silver Medal,Men's Épée Individual,Fencing
BOREL Yannick,France,Silver Medal,Men's Épée Individual,Fencing
BOREL Yannick,France,Silver Medal,Men's Épée Individual,Fencing
CANDASSAMY Marie-Florence,France,Silver Medal,Women's Épée Team,Fencing
CANDASSAMY Marie-Florence,France,Silver Medal,Women's Épée Team,Fencing
LEFORT Enzo,France,Bronze Medal,Men's Foil Team,Fencing
LEFORT Enzo,France,Bronze Medal,Men's Foil Team,Fencing
LEFORT Enzo,France,Bronze Medal,Men's Foil Team,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Individual,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Individual,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Individual,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Individual,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Individual,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Team,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Team,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Team,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Team,Fencing
MALLO-BRETON Auriane,France,Silver Medal,Women's Épée Team,Fencing
MERTINE Julien,France,Bronze Medal,Men's Foil Team,Fencing
PATRICE Sebastien,France,Bronze Medal,Men's Sabre Team,Fencing
PATRICE Sebastien,France,Bronze Medal,Men's Sabre Team,Fencing
PAUTY Maxime,France,Bronze Medal,Men's Foil Team,Fencing
PAUTY Maxime,France,Bronze Medal,Men's Foil Team,Fencing
PAUTY Maxime,France,Bronze Medal,Men's Foil Team,Fencing
PIANFETTI Maxime,France,Bronze Medal,Men's Sabre Team,Fencing
VITALIS Coraline,France,Silver Medal,Women's Épée Team,Fencing
VITALIS Coraline,France,Silver Medal,Women's Épée Team,Fencing
CHEUNG Ka Long,"Hong Kong, China",Gold Medal,Men's Foil Individual,Fencing
CHEUNG Ka Long,"Hong Kong, China",Gold Medal,Men's Foil Individual,Fencing
CHEUNG Ka Long,"Hong Kong, China",Gold Medal,Men's Foil Individual,Fencing
CHEUNG Ka Long,"Hong Kong, China",Gold Medal,Men's Foil Individual,Fencing
CHEUNG Ka Long,"Hong Kong, China",Gold Medal,Men's Foil Individual,Fencing
KONG Man Wai Vivian,"Hong Kong, China",Gold Medal,Women's Épée Individual,Fencing
KONG Man Wai Vivian,"Hong Kong, China",Gold Medal,Women's Épée Individual,Fencing
KONG Man Wai Vivian,"Hong Kong, China",Gold Medal,Women's Épée Individual,Fencing
KONG Man Wai Vivian,"Hong Kong, China",Gold Medal,Women's Épée Individual,Fencing
KONG Man Wai Vivian,"Hong Kong, China",Gold Medal,Women's Épée Individual,Fencing
ANDRASFI Tibor,Hungary,Gold Medal,Men's Épée Team,Fencing
ANDRASFI Tibor,Hungary,Gold Medal,Men's Épée Team,Fencing
ANDRASFI Tibor,Hungary,Gold Medal,Men's Épée Team,Fencing
ANDRASFI Tibor,Hungary,Gold Medal,Men's Épée Team,Fencing
ANDRASFI Tibor,Hungary,Gold Medal,Men's Épée Team,Fencing
GEMESI Csanad,Hungary,Silver Medal,Men's Sabre Team,Fencing
GEMESI Csanad,Hungary,Silver Medal,Men's Sabre Team,Fencing
KOCH Mate Tamas,Hungary,Gold Medal,Men's Épée Team,Fencing
MUHARI Eszter,Hungary,Bronze Medal,Women's Épée Individual,Fencing
MUHARI Eszter,Hungary,Bronze Medal,Women's Épée Individual,Fencing
MUHARI Eszter,Hungary,Bronze Medal,Women's Épée Individual,Fencing
MUHARI Eszter,Hungary,Bronze Medal,Women's Épée Individual,Fencing
MUHARI Eszter,Hungary,Bronze Medal,Women's Épée Individual,Fencing
SIKLOSI Gergely,Hungary,Gold Medal,Men's Épée Team,Fencing
