"participant_name","matches_played","wins","win_percentage","avg_points","performance_index","stages_participated"
"ABDUL RAHMAN Kiria Tikanah",2,1,50,12.5,410,2
"ABOUELKASSEM Alaaeldin",1,0,0,8,240,1
"ALIMZHANOV Elmir",2,1,50,14,455,2
"ALSHAMLAN Yousef",1,0,0,6,180,1
"ALVARES de OLIVEIRA Victor",1,0,0,9,270,1
"AMER Mohamed",3,2,66.6666666666667,14.3333333333333,476.666666666667,3
"AMR HOSSNY Sara",1,0,0,5,150,1
"ANDRASFI Tibor",5,3,60,12.6,420,5
"APITHY Bolade",2,1,50,11.5,380,2
"APITHY-BRUNET Manon",5,5,100,15,520,5
"ARFA Fares",3,2,66.6666666666667,14.3333333333333,476.666666666667,3
"AZUMA Sera",1,0,0,14,420,1
"Algeria",3,0,0,29,870,3
"BALZER Sara",5,4,80,14.4,488,5
"BASHTA Anna",2,1,50,10.5,350,2
"BATTISTON Michela",1,0,0,12,360,1
"BAYARD Alexis",1,0,0,9,270,1
"BAZADZE Sandro",2,1,50,14.5,470,2
"BENADOUDA Chaima",1,0,0,9,270,1
"BERAN Jiri",1,0,0,8,240,1
"BERDER Cecilia",2,1,50,11,365,2
"BERTHIER Amita",1,0,0,13,390,1
"BEZHURA Dzhoan Feybi",1,0,0,13,390,1
"BIANCHI Guillaume",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"BOREL Yannick",5,4,80,13.2,452,5
"BOUDIAF Saoussen",1,0,0,8,240,1
"BRIND'AMOUR Pamela",1,0,0,3,90,1
"BROSZUS Blake",2,1,50,12,395,2
"BRUNNER Pauline",1,0,0,11,330,1
"CALUGAREANU Malina",2,1,50,12,395,2
"CANDASSAMY Marie-Florence",2,1,50,12.5,410,2
"CANNONE Romain",2,1,50,12.5,410,2
"CATANTAN Samantha Kyle",2,1,50,13.5,440,2
"CAUCHON Francois",1,0,0,13,390,1
"CEBULA Anne",2,1,50,14,455,2
"CHAN Nok Sze Daphne",2,1,50,11.5,380,2
"CHEN Haiwei",1,0,0,7,210,1
"CHEN Qingyuan",1,0,0,7,210,1
"CHEN Yi-Tung",2,1,50,13.5,440,2
"CHEUNG Ka Long",5,5,100,15,520,5
"CHOI Sebin",5,3,60,14.2,468,5
"CHOUPENITCH Alexander",2,1,50,10,335,2
"CRISCIO Martina",1,0,0,10,300,1
"CURATOLI Luca",2,1,50,13.5,440,2
"Canada",9,2,22.2222222222222,35.6666666666667,1085.55555555556,5
"Czechia",3,2,66.6666666666667,41,1276.66666666667,3
"DAGHFOUS Yasmine",2,1,50,12,395,2
"DAYIBEKOVA Zaynab",1,0,0,11,330,1
"DERSHWITZ Eli",1,0,0,10,300,1
"DIFFERT Nelli",5,3,60,12,402,5
"DIONGUE Ndeye Bineta",1,0,0,14,420,1
"DOIG CALDERON Maria Luisa",1,0,0,14,420,1
"DOSA Daniel",1,0,0,14,420,1
"DUBROVICH Jacqueline",1,0,0,12,360,1
"EHAB Nardin",2,1,50,12.5,410,2
"ELKORD Houssam",1,0,0,13,390,1
"ELSAYED Mohamed",5,4,80,11.2,392,5
"ELSHARKAWY Yara",1,0,0,5,150,1
"ELSISSY Ziad",5,3,60,13.6,450,5
"EMURA Misaki",2,1,50,11,365,2
"ERBIL Nisanur",2,1,50,10,335,2
"ERRIGO Arianna",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"ESTEBAN Maxine Isabel",1,0,0,7,210,1
"Egypt",15,1,6.66666666666667,31.2,940.666666666667,4
"FAVARETTO Martina",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"FERJANI Fares",5,4,80,14.2,482,5
"FIAMINGO Rossella",1,0,0,14,420,1
"FOTOUHI Mohammad",1,0,0,13,390,1
"FREILICH Yuval Shalom",1,0,0,13,390,1
"FUKUSHIMA Shihomi",1,0,0,9,270,1
"France",18,10,55.5555555555556,40.5555555555556,1255.55555555556,7
"GABER Shirwit",1,0,0,9,270,1
"GALLO Michele",1,0,0,6,180,1
"GEMESI Csanad",2,1,50,14.5,470,2
"GIRAULT Evann Jean Abba",1,0,0,8,240,1
"GKOUNTOURA Theodora",3,2,66.6666666666667,14.3333333333333,476.666666666667,3
"GORDON Shaul",1,0,0,10,300,1
"GU Bongil",1,0,0,8,240,1
"GU Daniel",2,1,50,10,335,2
"GUO Jessica Zi Jia",2,1,50,13,425,2
"GUZZI VINCENTI Margherita",1,0,0,6,180,1
"HA Taegyu",1,0,0,13,390,1
"HAFEZ Nada",2,1,50,11,365,2
"HAMZA Malak",1,0,0,3,90,1
"HAMZA Mohamed",3,2,66.6666666666667,13,436.666666666667,3
"HARVEY Eleanor",5,4,80,13.2,452,5
"HEATHCOCK Colin",1,0,0,10,300,1
"HEROUI Salim",1,0,0,8,240,1
"HO Wai Hang",1,0,0,9,270,1
"HUANG Qianqian",2,1,50,12,395,2
"HUSISIAN Hadley",2,1,50,12,395,2
"HUSSEIN Aya",2,1,50,13,425,2
"Hungary",9,6,66.6666666666667,40.8888888888889,1273.33333333333,6
"IIMURA Kazuki",5,3,60,13.6,450,5
"ILIEVA Yoana",2,1,50,12.5,410,2
"INOSTROZA Arantza",1,0,0,7,210,1
"ITKIN Nick",5,4,80,14.2,482,5
"Islamic Republic of Iran",3,1,33.3333333333333,37.6666666666667,1153.33333333333,3
"Italy",18,12,66.6666666666667,41.2222222222222,1283.33333333333,7
"JELINSKA Martyna",2,1,50,14,455,2
"JEON Hayoung",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"JURKA Jakub",2,1,50,10,335,2
"JURKIEWICZ Jan",2,1,50,14.5,470,2
"Japan",12,9,75,40.25,1260,5
"KANG Young Mi",1,0,0,13,390,1
"KANO Koki",5,5,100,14.6,508,5
"KEHLI Zohra Nora",1,0,0,12,360,1
"KERYHUEL Jeremy Fafa",1,0,0,3,90,1
"KHARKOVA Vlada",3,2,66.6666666666667,13.3333333333333,446.666666666667,3
